created_at,id,id_str,Text,Label
Sat May 07 20:47:57 +0000 2016,7.29E+17,7.29E+17,stay date wildfires alberta emergency alert alberta wildfire apps fortmacfire notley,caution_and_advice
Wed May 11 10:43:21 +0000 2016,7.30E+17,7.30E+17, live urbanfringe close wildfire areas follow handy tips ro ensure safer property,caution_and_advice
Sun May 15 22:34:42 +0000 2016,7.32E+17,7.32E+17,active fires  ontario onfires wildfire manitoba mbfires,caution_and_advice
Mon May 16 01:53:17 +0000 2016,7.32E+17,7.32E+17,state local emergency declared bc peace bcwildfire,caution_and_advice
Mon May 16 16:55:40 +0000 2016,7.32E+17,7.32E+17, weve updated faq ahsstaff affected fort mcmurray wildfires find answers here,caution_and_advice
Sun May 08 01:39:30 +0000 2016,7.29E+17,7.29E+17,retweeted weather network  wildfire information canadians including do,caution_and_advice
Tue May 17 00:22:19 +0000 2016,7.32E+17,7.32E+17, spite repeated warnings boreal forest fires government wants expand tarsands production cdnpoli https,caution_and_advice
Tue May 17 17:00:01 +0000 2016,7.33E+17,7.33E+17,ban open fires expanded saskatchewan including area north churchill river sask yxe wildfire,caution_and_advice
Mon May 16 01:55:34 +0000 2016,7.32E+17,7.32E+17,bc wildfire service sent release smoky conditions peace yxj,caution_and_advice
Fri May 27 01:47:05 +0000 2016,7.36E+17,7.36E+17, abemergencyadvisories severe thunderstorm warning effect red deer surrounding areas wildfire co https,caution_and_advice
Sun May 08 03:56:47 +0000 2016,7.29E+17,7.29E+17, canada alberta wildfire doubles size k ha k acres racing oilsands damage cb usb,caution_and_advice
Tue May 17 14:08:23 +0000 2016,7.33E+17,7.33E+17,via  canada wildfire oil workers urged leave fortmcmurray camps  alberta suncor syncrude,caution_and_advice
Fri May 20 00:15:49 +0000 2016,7.33E+17,7.33E+17,alberta wildfire smoke descends edmonton environment canada issued air quality advisory thursday after,caution_and_advice
Fri May 06 17:28:38 +0000 2016,7.29E+17,7.29E+17,fires jump trees houses eliminate deaddry vegetation within m keep gutters clear woodpiles away house wildfire,caution_and_advice
Fri May 06 19:01:22 +0000 2016,7.29E+17,7.29E+17, alberta canada declared state emergency wildfire forced  people evacuate,caution_and_advice
Mon May 09 21:05:24 +0000 2016,7.30E+17,7.30E+17,areas northern mb experiencing wildfire smoke please see link mb health website information,caution_and_advice
Wed May 11 17:02:45 +0000 2016,7.30E+17,7.30E+17,live video province reveals details emergency funds wildfire evacuees,caution_and_advice
Thu May 12 17:39:21 +0000 2016,7.31E+17,7.31E+17,bc wildfire service information bulletin open burning restricted coastal fire centre parksville ,caution_and_advice
Mon May 16 22:35:37 +0000 2016,7.32E+17,7.32E+17,alberta wildfires  alert regional municipality wood buffalo,caution_and_advice
Tue May 17 18:42:11 +0000 2016,7.33E+17,7.33E+17,ymmfire ymmhelps fortmcmurray fortmacfire am fort mac fire update,caution_and_advice
Thu May 26 16:14:01 +0000 2016,7.36E+17,7.36E+17, happening now crews practice wildfire emergency response remember exercise northvan,caution_and_advice
Sat May 07 16:57:10 +0000 2016,7.29E+17,7.29E+17,information wildfire smoke horses especially western provinces affected smoke,caution_and_advice
Mon May 09 18:46:33 +0000 2016,7.30E+17,7.30E+17,danger fort mcmurray wildfire end flames stopresearch california fires via,caution_and_advice
Thu May 19 02:28:21 +0000 2016,7.33E+17,7.33E+17,chad ab wildfire says ymmfire spreading outward forested areas km sask border cooler temps halt growth,caution_and_advice
Fri May 20 13:24:42 +0000 2016,7.34E+17,7.34E+17,lake mead record low california drops water rules alberta wildfire still spreading via,caution_and_advice
Wed May 25 04:52:54 +0000 2016,7.35E+17,7.35E+17,slave lake wildfire update pm may  wildfire hazard slave lake forest area,caution_and_advice
Tue May 10 13:52:01 +0000 2016,7.30E+17,7.30E+17,dry conditions leading anotherrelevantinformation wildfire,caution_and_advice
Fri May 13 00:23:37 +0000 2016,7.31E+17,7.31E+17,alberta health services issued precautionary air quality advisory region due wildfire smoke details,caution_and_advice
Wed May 11 00:53:10 +0000 2016,7.30E+17,7.30E+17,wildfire information province posted here,caution_and_advice
Tue May 17 13:22:26 +0000 2016,7.33E+17,7.33E+17,ymmfire conditions around ymm remain extreme wildfire conditions,caution_and_advice
Tue May 17 17:13:08 +0000 2016,7.33E+17,7.33E+17,alberta wildfires chad morrison says number oilsands camps remain risk sawmilloilsands facilities resilient firebreaks,caution_and_advice
Sat May 07 13:42:19 +0000 2016,7.29E+17,7.29E+17,fires still growing ,caution_and_advice
Tue May 17 12:50:38 +0000 2016,7.33E+17,7.33E+17,state emergency called alberta fire wildfire canada climate security oil biz tech,caution_and_advice
Tue May 17 17:05:25 +0000 2016,7.33E+17,7.33E+17,notley wildfire risk continues camps north fort mcmurray areas experienced damage ymm ymmfire,caution_and_advice
Fri May 20 00:37:57 +0000 2016,7.33E+17,7.33E+17,slave lake wildfire update may   pm today fire ban ohv restriction,caution_and_advice
Fri May 06 19:50:11 +0000 2016,7.29E+17,7.29E+17,wildfire officials say still early expect intense wildfire conditions ahead ymmfire abfires,caution_and_advice
Fri May 06 20:34:02 +0000 2016,7.29E+17,7.29E+17,smelling smoke bdnmb today would seem wind brought wildfire smoke way air quality warning yet smoke,caution_and_advice
Fri May 06 23:37:00 +0000 2016,7.29E+17,7.29E+17,fires  british colombia please stay safe near areas either canadian province,caution_and_advice
Thu May 19 17:14:17 +0000 2016,7.33E+17,7.33E+17,chad morrison w wildfire alberta  hectares size  sask ymmfire spreading northeast forested areas,caution_and_advice
Fri May 06 19:32:43 +0000 2016,7.29E+17,7.29E+17,state emergency issued due wildfire north fort st john,caution_and_advice
Mon May 09 02:52:13 +0000 2016,7.30E+17,7.30E+17, extra caution needed seeding dry conditions wildfire plant,caution_and_advice
Thu May 12 22:36:21 +0000 2016,7.31E+17,7.31E+17,message bc wildfire service starting noon friday open fires banned areas of,caution_and_advice
Mon May 16 20:36:45 +0000 2016,7.32E+17,7.32E+17,smoke ymm wildfire still visible satellite air quality area still major concern ymmfire,caution_and_advice
Tue May 24 23:05:28 +0000 2016,7.35E+17,7.35E+17, wildfire contaminants could make fortmcmurray water supply difficult treat coming weeks months,caution_and_advice
Mon May 09 14:14:08 +0000 2016,7.30E+17,7.30E+17,thing fort mcmurray fires could burn months,caution_and_advice
Sat May 07 00:58:10 +0000 2016,7.29E+17,7.29E+17,wildfire danger alberta high theres province wide fire ban place ban atv use fear sparks,caution_and_advice
Sun May 08 03:21:56 +0000 2016,7.29E+17,7.29E+17, post soon wildfire homes threatened district says waterbombing underway,caution_and_advice
Sun May 08 20:29:41 +0000 2016,7.29E+17,7.29E+17,protecting community wildfires strathco,caution_and_advice
Mon May 16 03:55:39 +0000 2016,7.32E+17,7.32E+17, state local emergency issued greenview due control wildfire a,caution_and_advice
Wed May 18 04:16:12 +0000 2016,7.33E+17,7.33E+17, week somewhat good news fort mac today day fires derail recovery plans,caution_and_advice
Sat May 07 15:12:39 +0000 2016,7.29E+17,7.29E+17, wildfire mental health resources yym psychological first aid otherrelevantinformation tips,caution_and_advice
Tue May 10 00:25:25 +0000 2016,7.30E+17,7.30E+17,  fact insurers routinely pay damage resulting natural disasters including windstorms rain hail wildf,caution_and_advice
Wed May 18 17:29:38 +0000 2016,7.33E+17,7.33E+17,sk wildfire update air quality  northwestern areas province bad,caution_and_advice
